category,userId,messageId,name,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,business_id,category_properties,name_properties,location,sponsored_listing,button_name,search_text,event_type
start,,ajs-next-1769284592857-d416049d-4f02-469c-8f25-054c485bc5e1,start,2026-01-24 19:56:32.857000+00:00,41c9bb46-f53a-40f4-9632-03accae13d72,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,,start,start,,,,,page
,,ajs-next-1769288913176-c63ed05a-bf8d-4c82-b179-ad2524d31565,,2026-01-24 21:08:33.176000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,1744335958024x226211831616957250,,,main_list,true,,,impression
index,,ajs-next-1769289157141-8521434d-99af-4d60-8db6-c5e71d19c871,index,2026-01-24 21:12:37.141000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,page
index,,ajs-next-1769288893672-cfa056c5-7774-4a3d-b383-90d2833d685e,index,2026-01-24 21:08:13.672000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,index,index,,,,,page
,,ajs-next-1769288912870-3a7dc63e-d05a-4f8d-bc82-f179ad2524d3,,2026-01-24 21:08:32.870000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,,sidebar,true,,,impression
,,ajs-next-1769289104395-1025f5ce-4c79-4fdf-bb49-19cb320ef1c7,,2026-01-24 21:11:44.395000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,,,,sidebar,true,,,impression
,,ajs-next-1769288893978-74aa3d73-8390-4283-bd68-5eaee03d7b82,,2026-01-24 21:08:13.978000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1743547621069x279645472884266780, 1753374338412x209529915103450200",,,,true,,,impression
,,ajs-next-1769289157644-434d99af-3d60-4db6-85e7-1d19c871ed6b,,2026-01-24 21:12:37.644000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,"1753374338412x209529915103450200, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1743549178851x847080663521240200, 1743547621069x279645472884266780, 1744335958024x226211831616957250",,,,true,,,impression
,,ajs-next-1769288931017-bf8d7c82-f179-4d25-a4d3-1565d032092b,,2026-01-24 21:08:51.017000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Home%20Services,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Home%20Services,,,,,,,,,1763148950401x545361905340972600,,,,false,more_info_text,,button_click
Home Services,,ajs-next-1769288909738-8390d283-3d68-4eae-a03d-7b82db908618,,2026-01-24 21:08:29.738000+00:00,a056c577-74aa-4d73-8390-d2833d685eae,"Mozilla/5.0 (iPhone; CPU iPhone OS 26_2_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/143.0.3650.139 Version/26.0 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,,,,,,search
