originalTimestamp,messageId,anonymousId,userId,category,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,sponsored_listing,path,referrer,search,title,url,category_properties,name_properties,button_name,location,search_text,traits,event_type
2026-02-26 23:38:50.390000+00:00,ajs-next-1772149130390-0f200608-13ec-4beb-b594-955640be1c12,98eb0f20-0608-43ec-abeb-f594955640be,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.7444.175 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '141'}, {'brand': 'Not?A_Brand', 'version': '8'}]",False,Windows,"1744335958024x226211831616957250, 1753982403438x535213824960417500, 1743547621069x279645472884266780, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753374338412x209529915103450200, 1743549178851x847080663521240200, 1752717497153x537286585580736960",true,,,,,,,,,,,,impression
2026-02-26 23:40:36.883000+00:00,ajs-next-1772149236883-ada269ba-ae33-4750-8911-eae70b3d5188,29edfd92-7f98-4726-9837-297623fe2dcf,,index,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
2026-02-26 23:40:37.361000+00:00,ajs-next-1772149237361-69baae33-8750-4911-aae7-0b3d51886f9e,29edfd92-7f98-4726-9837-297623fe2dcf,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,"1743547621069x279645472884266780, 1771436045389x658317953644361100, 1770943484557x164806709481949200, 1753374338412x209529915103450200, 1744335958024x226211831616957250, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753982403438x535213824960417500",true,,,,,,,,,,,,impression
2026-02-26 23:41:56.574000+00:00,ajs-next-1772149316574-274b1183-562c-4790-9704-82910ce206e7,29edfd92-7f98-4726-9837-297623fe2dcf,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,1743549178851x847080663521240200,true,,,,,,,,,main_list,,,impression
2026-02-26 23:41:53.994000+00:00,ajs-next-1772149313994-bc8b2116-a5c6-4441-b553-e08ee7b71e43,29edfd92-7f98-4726-9837-297623fe2dcf,,Food & Restaurants,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,,,,,,,search
2026-02-26 23:41:56.882000+00:00,ajs-next-1772149316882-1183562c-4790-4704-8291-0ce206e79319,29edfd92-7f98-4726-9837-297623fe2dcf,,,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=&category=Food%20%26%20Restaurants,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=&category=Food%20%26%20Restaurants,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Google Chrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,"1751749348389x952656707958261400, 1743549178851x847080663521240200",false,,,,,,,,,,,,impression
2026-02-26 23:52:37.084000+00:00,ajs-next-1772149957084-927ca32e-14c5-43c3-a6f4-da38d312b212,7ca32e14-c5c3-43e6-b4da-38d312b2120a,,index,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
2026-02-26 23:52:37.216000+00:00,ajs-next-1772149957216-2e14c5c3-c3e6-44da-b8d3-12b2120a6474,7ca32e14-c5c3-43e6-b4da-38d312b2120a,,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,"1752717497153x537286585580736960, 1744335958024x226211831616957250, 1771436045389x658317953644361100, 1750436264420x989591292213482400, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1743547621069x279645472884266780, 1770943484557x164806709481949200, 1753982403438x535213824960417500",true,,,,,,,,,,,,impression
2026-02-27 04:40:16.682000+00:00,ajs-next-1772167216682-c61f9df6-5451-4e60-856c-9b70a13eb5fe,1f9df654-517e-40c5-ac9b-70a13eb5fe8d,,how_it_works,how_it_works,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/test-business-1771517879190x523242735258870900,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,/how_it_works/test-business-1771517879190x523242735258870900,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/test-business-1771517879190x523242735258870900,how_it_works,how_it_works,,,,,page
2026-02-27 05:46:38.732000+00:00,ajs-next-1772171198732-fc488fc2-1392-48fe-82dd-a18d5665b35d,488fc213-92b8-4e42-9da1-8d5665b35db0,,about_us,about_us,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/evan-collyer---auto-brokerconsultant-1770755356265x111382421474427680,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/evan-collyer---auto-brokerconsultant-1770755356265x111382421474427680,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'HeadlessChrome', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,/about_us/evan-collyer---auto-brokerconsultant-1770755356265x111382421474427680,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/evan-collyer---auto-brokerconsultant-1770755356265x111382421474427680,about_us,about_us,,,,,page
