userId,messageId,anonymousId,category,name,originalTimestamp,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,event_type
,ajs-next-1769187841905-b09cb4f8-34ee-48fe-ab75-a4648f8bf37a,9cb4f834-ee18-4eeb-b5a4-648f8bf37a16,start,start,2026-01-23 17:04:01.905000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,page
,ajs-next-1769189247751-a0c3ed54-6b08-48e7-adf1-be5525860f10,c3ed546b-0848-47ed-b1be-5525860f10c0,how_it_works,how_it_works,2026-01-23 17:27:27.751000+00:00,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,"[{'brand': 'HeadlessChrome', 'version': '143'}, {'brand': 'Chromium', 'version': '143'}, {'brand': 'Not A(Brand', 'version': '24'}]",False,Windows,/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/how_it_works/federico-montoya---loan-officer-1765991015203x350068785849064760,how_it_works,how_it_works,,,page
1745273541628x945470626229355500,ajs-next-1769197162349-42f061ce-6558-4c11-84f9-853a7f9a6aed,f4fcac8a-88d6-44ec-b01b-6264b0df1c73,index,index,2026-01-23 19:39:22.349000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
1745273541628x945470626229355500,ajs-next-1769197162683-61ce6558-2c11-44f9-853a-7f9a6aed25f2,f4fcac8a-88d6-44ec-b01b-6264b0df1c73,,,2026-01-23 19:39:22.683000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753374338412x209529915103450200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500",true,impression
1745273541628x945470626229355500,ajs-next-1769197162685-65582c11-44f9-453a-bf9a-6aed25f2ccfe,f4fcac8a-88d6-44ec-b01b-6264b0df1c73,,,2026-01-23 19:39:22.685000+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Safari/605.1.15",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1753374338412x209529915103450200, 1750436264420x989591292213482400, 1743547621069x279645472884266780, 1752717497153x537286585580736960, 1743549178851x847080663521240200, 1744335958024x226211831616957250, 1744579851707x640487742075829500, 1753982403438x535213824960417500",true,impression
,ajs-next-1769201635177-08a4ad6a-1762-46fc-84c5-15ffbed7f4f6,07b6d3c5-0ae5-409e-b783-41b156614a8b,,,2026-01-23 20:53:55.177000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,impression
,ajs-next-1769201634070-cb5508a4-ad6a-4762-86fc-44c515ffbed7,07b6d3c5-0ae5-409e-b783-41b156614a8b,index,index,2026-01-23 20:53:54.070000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,page
,ajs-next-1769201635179-ad6a1762-46fc-44c5-95ff-bed7f4f6e6ec,07b6d3c5-0ae5-409e-b783-41b156614a8b,,,2026-01-23 20:53:55.179000+00:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1744579851707x640487742075829500, 1753374338412x209529915103450200, 1750436264420x989591292213482400, 1752717497153x537286585580736960, 1744335958024x226211831616957250, 1753982403438x535213824960417500, 1743549178851x847080663521240200",true,impression
,ajs-next-1769209822248-7ac5cb03-8899-4019-abeb-a79844680451,695cc647-22bb-4d54-bb7e-553e8dc1303b,profile,business_profile,2026-01-23 23:10:22.248000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/business_profile/roof-technologies-llc-1744579851707x640487742075829500,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/business_profile/roof-technologies-llc-1744579851707x640487742075829500,profile,business_profile,1744579851707x640487742075829500,,page
,ajs-next-1769209836827-94746127-a31e-4fe4-a270-aab67122d7ec,695cc647-22bb-4d54-bb7e-553e8dc1303b,start,start,2026-01-23 23:10:36.827000+00:00,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,page
