messageId,userId,originalTimestamp,anonymousId,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,business_id,location,sponsored_listing,name,category,path,referrer,search,title,url,category_properties,name_properties,city,search_text,parish,button_name,event_type
ajs-next-1779062177040-05f2814c-2098-4de2-b770-beec365afe2f,,2026-05-17 23:56:17.040000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,index,index,/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,page
ajs-next-1779062186370-2b32f36a-c963-46f5-910d-c1a259cd20cd,,2026-05-17 23:56:26.370000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,sidebar,true,,,,,,,,,,,,,,impression
ajs-next-1779062186998-c96316f5-510d-41a2-99cd-20cd20e6e193,,2026-05-17 23:56:26.998000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,1761930377989x951815782791809400,,false,,,,,,,,,,,,,,impression
ajs-next-1779062184338-70beec36-5afe-4fcd-99b1-0fab96c8f9bd,,2026-05-17 23:56:24.338000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,,,,,,,,,,,Gym,,,search
ajs-next-1779062193318-20e6e193-f6dc-40cc-a9fa-c976f37e9482,,2026-05-17 23:56:33.318000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=Health%20%26%20Wellness,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=Health%20%26%20Wellness,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,1761930377989x951815782791809400,,false,,,,,,,,,,,,,,impression
ajs-next-1779062184032-e27770be-ec36-4afe-afcd-d9b10fab96c8,,2026-05-17 23:56:24.032000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,,,,,,,,,,,,,search,button_click
ajs-next-1779062177053-4c20987d-e277-40be-ac36-5afe2fcdd9b1,,2026-05-17 23:56:17.053000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/,https://coloradocatholics.biz/,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,"1771436045389x658317953644361100, 1753374338412x209529915103450200, 1770943484557x164806709481949200, 1744579851707x640487742075829500, 1753982403438x535213824960417500, 1752717497153x537286585580736960, 1750436264420x989591292213482400, 1744335958024x226211831616957250, 1751744301621x758526182685981300",,true,,,,,,,,,,,,,,impression
ajs-next-1779062191685-16f5510d-c1a2-49cd-a0cd-20e6e193f6dc,,2026-05-17 23:56:31.685000+00:00,f2814c20-987d-4277-b0be-ec365afe2fcd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Mobile Safari/537.36",/search,https://coloradocatholicbusinessdirectory.com/,?query=Gym&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=Gym&category=,"[{'brand': 'Chromium', 'version': '148'}, {'brand': 'Google Chrome', 'version': '148'}, {'brand': 'Not/A)Brand', 'version': '99'}]",True,Android,,,,,,,,,,,,,,,,search,button_click
ajs-next-1779063829158-9b64e240-ed9c-4749-abc5-f80a1d86b1da,,2026-05-18 00:23:49.158000+00:00,89e52609-9b64-4240-ad9c-a749abc5f80a,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/136.0.0.0 Safari/537.36",/search,,?category=Other,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?category=Other,[],False,,,main_list,true,,,,,,,,,,,,,,impression
ajs-next-1779065638290-655ae147-7c69-4cc9-a78f-6c2a5788a3e2,,2026-05-18 00:53:58.290000+00:00,5ae1477c-694c-49a7-8f6c-2a5788a3e2f3,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/low-cost-mortgage-loans-1778185404695x597979725335827200,[],False,,,,,about_us,about_us,/about_us/low-cost-mortgage-loans-1778185404695x597979725335827200,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/low-cost-mortgage-loans-1778185404695x597979725335827200,about_us,about_us,,,,,page
ajs-next-1779078448260-949f3c9d-2843-4ae2-8399-5ac5a3fe5cc4,,2026-05-18 04:27:28.260000+00:00,9f3c9d28-43da-4203-995a-c5a3fe5cc493,meta-externalagent/1.1 (+https://developers.facebook.com/docs/sharing/webmasters/crawler),/about_us/1779065636689x207066601642816640,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779065636689x207066601642816640,[],False,,,,,about_us,about_us,/about_us/1779065636689x207066601642816640,,,| Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/about_us/1779065636689x207066601642816640,about_us,about_us,,,,,page
