category,messageId,originalTimestamp,userId,anonymousId,name,userAgent,page.path,page.referrer,page.search,page.title,page.url,userAgentData.brands,userAgentData.mobile,userAgentData.platform,path,referrer,search,title,url,category_properties,name_properties,business_id,sponsored_listing,search_text,button_name,location,event_type
,ajs-next-1772731381729-ef69b3e1-c775-4d1b-83e2-1aec18a662cb,2026-03-05 17:23:01.729000+00:00,,fec9bc63-e085-4903-b441-8b6a9be916f7,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1772731388319-8997d0a4-04fa-4836-b4f0-d7264836dcdf,2026-03-05 17:23:08.319000+00:00,,fec9bc63-e085-4903-b441-8b6a9be916f7,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=photographer&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=photographer&category=,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,,true,,,sidebar,impression
index,ajs-next-1772731381298-f2e1ef69-b3e1-4775-9d1b-03e21aec18a6,2026-03-05 17:23:01.298000+00:00,,fec9bc63-e085-4903-b441-8b6a9be916f7,index,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
search,ajs-next-1772731388008-d7908997-d0a4-44fa-b836-34f0d7264836,2026-03-05 17:23:08.008000+00:00,,fec9bc63-e085-4903-b441-8b6a9be916f7,search,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",/search,https://coloradocatholicbusinessdirectory.com/,?query=photographer&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=photographer&category=,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,/search,https://coloradocatholicbusinessdirectory.com/,?query=photographer&category=,Search | Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/search?query=photographer&category=,search,search,,,,,,page
,ajs-next-1772731381731-b3e1c775-dd1b-43e2-9aec-18a662cb97f3,2026-03-05 17:23:01.731000+00:00,,fec9bc63-e085-4903-b441-8b6a9be916f7,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,"1744335958024x226211831616957250, 1743547621069x279645472884266780, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1770943484557x164806709481949200, 1771436045389x658317953644361100, 1752717497153x537286585580736960, 1744579851707x640487742075829500, 1743549178851x847080663521240200, 1753374338412x209529915103450200",true,,,,impression
,ajs-next-1772731386174-c775dd1b-03e2-4aec-98a6-62cb97f36eca,2026-03-05 17:23:06.174000+00:00,,fec9bc63-e085-4903-b441-8b6a9be916f7,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36 Edg/145.0.0.0",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,"[{'brand': 'Not:A-Brand', 'version': '99'}, {'brand': 'Microsoft Edge', 'version': '145'}, {'brand': 'Chromium', 'version': '145'}]",False,Windows,,,,,,,,,,,search,,button_click
,ajs-next-1772733148422-c114ac7b-8479-4bdf-a37f-b9cccd3bc0bf,2026-03-05 17:52:28.422000+00:00,,afa74254-6c79-410e-a606-e27722338e51,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,,,,,,,,"1743547621069x279645472884266780, 1771436045389x658317953644361100, 1744579851707x640487742075829500, 1750436264420x989591292213482400, 1753982403438x535213824960417500, 1744335958024x226211831616957250, 1743549178851x847080663521240200, 1753374338412x209529915103450200, 1752717497153x537286585580736960, 1770943484557x164806709481949200",true,,,,impression
start,ajs-next-1772733041780-5fa65ee2-2359-4bcc-9e92-d2ce05534edf,2026-03-05 17:50:41.780000+00:00,,a65ee223-594b-4c1e-92d2-ce05534edf92,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not(A:Brand', 'version': '8'}, {'brand': 'Chromium', 'version': '144'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
index,ajs-next-1772733147837-2122c114-ac7b-4479-9bdf-237fb9cccd3b,2026-03-05 17:52:27.837000+00:00,,afa74254-6c79-410e-a606-e27722338e51,index,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.3 Mobile/15E148 Safari/604.1",/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,,,,/,,,Colorado Catholic Business Directory,https://coloradocatholicbusinessdirectory.com/,index,index,,,,,,page
start,ajs-next-1772741507091-35151311-c939-441f-87e5-0150372d9c7c,2026-03-05 20:11:47.091000+00:00,,151311c9-3904-4f07-a501-50372d9c7c83,start,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36""",/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,"[{'brand': 'Not:A-Brand', 'version': '24'}, {'brand': 'Chromium', 'version': '134'}]",False,Linux,/start,,?login=no,Login,https://coloradocatholicbusinessdirectory.com/start?login=no,start,start,,,,,,page
